Last Name,First Name*,ID,Confidential Ind,UST Email,Email1,Home Phone,Business Phone,Cell Phone,type,Street1,Street2,City,State,Zip,Nation,term,Course College,Course Department,crn,Course,Section,Course Title,Course Credits,Campus,Schedule,registration status,Registration Status,Final Grade,Grade Change Reason,Incomplete Extension Date,Repeat Course Ind,college,degree,Major,program,Primary Instructor ID,Primary Instructor Name,Instructor2 ID,Instructor2 Name
Last0,First0,0,,STUDENT0@GMAIL.COM,OTHER0@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22155,SEIS632,2,Data Analytics & Visualization,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Data Science,SE_GR_MS,101003004,"Rege, Manjeet  ",,
Last0,First0,0,,STUDENT0@GMAIL.COM,OTHER0@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22149,SEIS630,1,Database Mgmt Systems & Design,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100407375,"Skochil, Jeffrey R.",,
Last0,First0,0,,STUDENT0@GMAIL.COM,OTHER0@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22137,SEIS603,1,Found. Software Dev-Python,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100376738,"Level, Eric V.",,
Last1,First1,1,,STUDENT1@GMAIL.COM,OTHER1@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22173,SEIS734,2,Data Mining & Pred. Analytics,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100408312,"Lai, Chih  ",,
Last2,First2,2,,STUDENT2@GMAIL.COM,OTHER2@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22150,SEIS630,2,Database Mgmt Systems & Design,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last3,First3,3,,STUDENT3@GMAIL.COM,OTHER3@GMAIL.COM,,,,HM,,,,OH,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22177,SEIS737,3,Big Data Management,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100407592,"Rahimi, Saeed K.",,
Last3,First3,3,,STUDENT3@GMAIL.COM,OTHER3@GMAIL.COM,,,,HM,,,,OH,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22181,SEIS763,2,Machine Learning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100408312,"Lai, Chih  ",,
Last4,First4,4,,STUDENT4@GMAIL.COM,OTHER4@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22145,SEIS625,1,Software Project Management,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101141617,"Aune, Aric B.",,
Last5,First5,5,,STUDENT5@GMAIL.COM,OTHER5@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22172,SEIS734,1,Data Mining & Pred. Analytics,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,100408312,"Lai, Chih  ",,
Last6,First6,6,,STUDENT6@GMAIL.COM,OTHER6@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22171,SEIS736,2,Big Data Architecture,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100820872,"Karacic, Mirza  ",,
Last6,First6,6,,STUDENT6@GMAIL.COM,OTHER6@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22181,SEIS763,2,Machine Learning,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,100408312,"Lai, Chih  ",,
Last7,First7,7,,STUDENT7@GMAIL.COM,OTHER7@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22150,SEIS630,2,Database Mgmt Systems & Design,3,St Paul,Lecture,RE,**Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last7,First7,7,,STUDENT7@GMAIL.COM,OTHER7@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22162,SEIS663,2,IT Security and Networking,0,St Paul,Lecture,D2,Course Drop,,,,,SE,MS,Information Technology,SE_GR_MS,101142921,"Wallerstedt, Theodore M.",,
Last7,First7,7,,STUDENT7@GMAIL.COM,OTHER7@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22158,SEIS636,1,Requirements Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Information Technology,SE_GR_MS,101031087,"Gardner, Jan M.",,
Last8,First8,8,,STUDENT8@GMAIL.COM,OTHER8@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22135,SEIS601,2,Found. of Software Dev-Java,3,St Paul,Lecture,OR,**Web Registered**,,,,,ET,MS,Systems Engineering,ET_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last9,First9,9,,STUDENT9@GMAIL.COM,OTHER9@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22141,SEIS605,2,Technical Communications,3,St Paul,Lecture,OR,**Web Registered**,,,,,BU,MS,Business Analytics,BU_BA_MS,100293169,"Harvey, Dorian G.",,
Last9,First9,9,,STUDENT9@GMAIL.COM,OTHER9@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22149,SEIS630,1,Database Mgmt Systems & Design,3,St Paul,Lecture,RE,**Registered**,,,,,BU,MS,Business Analytics,BU_BA_MS,100407375,"Skochil, Jeffrey R.",,
Last10,First10,10,,STUDENT10@GMAIL.COM,OTHER10@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22158,SEIS636,1,Requirements Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Data Science,SE_GR_MS,101031087,"Gardner, Jan M.",,
Last10,First10,10,,STUDENT10@GMAIL.COM,OTHER10@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22135,SEIS601,2,Found. of Software Dev-Java,0,St Paul,Lecture,O2,Course Drop (Web),,,,,SE,MS,Data Science,SE_GR_MS,101054799,"Chiang, Chi-Lung  ",,
Last11,First11,11,,STUDENT11@GMAIL.COM,OTHER11@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22159,SEIS640,1,Operating Systems Design,3,St Paul,Face-to-Face 26-50% of time,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101125840,"Dorin, Michael A.",,
Last11,First11,11,,STUDENT11@GMAIL.COM,OTHER11@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22147,SEIS626,1,Sftw Quality Assurance/Control,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100375463,"Haug, Frank S.",,
Last11,First11,11,,STUDENT11@GMAIL.COM,OTHER11@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22152,SEIS631,1,Foundations of Data Analysis,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,101190814,"Kubisiak, Kristine  ",,
Last12,First12,12,,STUDENT12@GMAIL.COM,OTHER12@GMAIL.COM,,,,HM,,,,MN,,United States of America,201820,Grad Prog in Software Eng,Software Engineering,22140,SEIS605,1,Technical Communications,3,St Paul,Lecture,OR,**Web Registered**,,,,,SE,MS,Software Engineering,SE_GR_MS,100819629,"Livingston, Kirk T.",,
