Course,Section,Waitlist Order,ID,NAME,UST Email Address,Preferred Email Address,REGISTRATION_STATUS_DATE
SEIS602,1,1,531,"Last472, First448",STUDENT529@GMAIL.COM,STUDENT529@GMAIL.COM,"Nov 10, 2017 8:51:56 PM"
SEIS602,1,2,543,"Last484, First276",STUDENT540@GMAIL.COM,STUDENT540@GMAIL.COM,"Nov 11, 2017 4:14:38 PM"
SEIS602,1,3,428,"Last378, First276",STUDENT426@GMAIL.COM,STUDENT426@GMAIL.COM,"Nov 13, 2017 12:50:54 PM"
SEIS602,1,4,34,"Last33, First34",STUDENT34@GMAIL.COM,OTHER34@GMAIL.COM,"Nov 15, 2017 7:08:46 PM"
SEIS602,1,5,442,"Last391, First373",STUDENT440@GMAIL.COM,OTHER440@GMAIL.COM,"Nov 16, 2017 6:41:14 PM"
SEIS602,1,6,653,"Last573, First535",STUDENT650@GMAIL.COM,STUDENT650@GMAIL.COM,"Nov 16, 2017 7:00:52 PM"
SEIS602,1,7,670,"Last588, First547",STUDENT667@GMAIL.COM,OTHER667@GMAIL.COM,"Nov 21, 2017 4:07:08 PM"
 SEIS603,1,1,674,"Last589, ?????",STUDENT671@GMAIL.COM,OTHER671@GMAIL.COM,"Nov 9, 2017 11:38:16 AM"
 SEIS603,1,2,304,"Last274, First266",STUDENT303@GMAIL.COM,OTHER303@GMAIL.COM,"Nov 9, 2017 4:39:10 PM"
 SEIS603,1,3,?????????,"?????, First169",?????,?????,"Nov 10, 2017 3:23:05 PM"
 SEIS603,1,4,307,"Last277, First267",STUDENT306@GMAIL.COM,STUDENT306@GMAIL.COM,"Nov 12, 2017 11:19:35 PM"
 SEIS603,1,5,613,"Last544, First226",STUDENT610@GMAIL.COM,STUDENT610@GMAIL.COM,"Nov 14, 2017 8:02:14 AM"
 SEIS603,1,6,699,"Last607, ?????",STUDENT695@GMAIL.COM,OTHER695@GMAIL.COM,"Nov 14, 2017 10:50:09 AM"
 SEIS603,1,7,413,"Last364, First350",?????,?????,"Nov 15, 2017 8:47:17 AM"
 SEIS603,1,8,73,"Last72, ?????",STUDENT73@GMAIL.COM,OTHER73@GMAIL.COM,"Nov 15, 2017 2:13:06 PM"
 SEIS603,1,9,239,"Last219, First210",STUDENT238@GMAIL.COM,STUDENT238@GMAIL.COM,"Nov 16, 2017 12:57:52 PM"
 SEIS603,1,10,286,"Last261, First80",STUDENT285@GMAIL.COM,OTHER285@GMAIL.COM,"Nov 16, 2017 1:41:44 PM"
 SEIS603,1,11,30,"Last29, First30",STUDENT30@GMAIL.COM,OTHER30@GMAIL.COM,"Nov 16, 2017 11:08:52 PM"
 SEIS603,1,12,643,"Last565, ?????",STUDENT640@GMAIL.COM,STUDENT640@GMAIL.COM,"Nov 20, 2017 10:53:49 AM"
 SEIS603,1,13,311,"Last281, First271",STUDENT310@GMAIL.COM,OTHER310@GMAIL.COM,"Nov 20, 2017 11:37:01 AM"
 SEIS603,1,14,672,"Last589, ?????",STUDENT669@GMAIL.COM,STUDENT669@GMAIL.COM,"Nov 20, 2017 12:43:56 PM"
 SEIS603,1,15,552,"Last493, First460",STUDENT549@GMAIL.COM,OTHER549@GMAIL.COM,"Nov 21, 2017 12:34:59 PM"
 SEIS603,3,1,528,"Last469, ?????",STUDENT526@GMAIL.COM,STUDENT526@GMAIL.COM,"Nov 9, 2017 4:30:58 PM"
 SEIS603,3,2,304,"Last274, First266",STUDENT303@GMAIL.COM,OTHER303@GMAIL.COM,"Nov 9, 2017 4:39:41 PM"
 SEIS603,3,3,564,"Last499, First470",STUDENT561@GMAIL.COM,OTHER561@GMAIL.COM,"Nov 9, 2017 7:17:18 PM"
 SEIS603,3,4,541,"Last482, First453",STUDENT538@GMAIL.COM,STUDENT538@GMAIL.COM,"Nov 10, 2017 2:06:27 PM"
 SEIS603,3,5,213,"Last199, First191",STUDENT212@GMAIL.COM,OTHER212@GMAIL.COM,"Nov 10, 2017 6:20:53 PM"
 SEIS603,3,6,553,"Last494, First461",STUDENT550@GMAIL.COM,STUDENT550@GMAIL.COM,"Nov 13, 2017 12:04:02 PM"
 SEIS603,3,7,699,"Last607, ?????",STUDENT695@GMAIL.COM,OTHER695@GMAIL.COM,"Nov 14, 2017 10:50:18 AM"
